date,outside_service,thirdparty,owner,investor,lvr1,lvr2,lvr3,lvr4,io_loans,low_doc,non_stan
31/03/08,1567 ,23436 ,36444 ,17377 ,16511 ,17503 ,9930 ,9877 ,19017 ,6413 ,449
30/06/08,1487 ,25595 ,36123 ,17653 ,15972 ,18014 ,10582 ,9208 ,20654 ,6120 ,501
30/09/08,1230 ,22331 ,34970 ,15977 ,14603 ,17133 ,9456 ,9756 ,16534 ,6569 ,484
31/12/08,1124 ,23189 ,37674 ,16044 ,15204 ,18422 ,8520 ,11571 ,16393 ,5589 ,457
31/03/09,863 ,22295 ,41663 ,15203 ,15638 ,19688 ,8879 ,12662 ,15881 ,5066 ,368
30/06/09,1161 ,27949 ,47893 ,19205 ,19055 ,24182 ,11302 ,12559 ,21610 ,4824 ,278
30/09/09,1188 ,27251 ,46113 ,19076 ,17065 ,27785 ,10022 ,10318 ,21768 ,5368 ,103
31/12/09,1242 ,25735 ,43302 ,20578 ,17168 ,26174 ,11377 ,9162 ,21579 ,4565 ,91
31/03/10,897 ,19868 ,34985 ,18451 ,15089 ,21598 ,9777 ,6972 ,17364 ,3592 ,98
30/06/10,1017 ,21919 ,37826 ,21621 ,17044 ,24700 ,12011 ,5692 ,21368 ,3934 ,147
30/09/10,996 ,21333 ,37757 ,19416 ,15838 ,24077 ,11638 ,5620 ,20086 ,3699 ,98
31/12/10,1010 ,23566 ,39870 ,19718 ,16970 ,24258 ,12334 ,6026 ,21140 ,2439 ,101
31/03/11,908 ,19661 ,33969 ,16354 ,13643 ,20223 ,10865 ,5592 ,17418 ,1159 ,104
30/06/11,1244 ,23401 ,39682 ,20193 ,15691 ,24460 ,12858 ,6867 ,22629 ,1368 ,136
30/09/11,1363 ,24312 ,40182 ,19613 ,15384 ,24819 ,11975 ,7617 ,21179 ,1455 ,143
31/12/11,1246 ,26126 ,41971 ,19668 ,15720 ,24432 ,12393 ,9094 ,20652 ,1159 ,137
31/03/12,1221 ,22546 ,37931 ,18244 ,14865 ,22112 ,11248 ,7950 ,18549 ,752 ,127
30/06/12,1945 ,25649 ,41435 ,21631 ,15713 ,25635 ,12657 ,9061 ,23177 ,739 ,153
30/09/12,1822 ,25402 ,41669 ,20536 ,15388 ,25970 ,11602 ,9245 ,22090 ,635 ,96
31/12/12,2135 ,26910 ,43725 ,21711 ,16529 ,27303 ,12044 ,9561 ,23284 ,487 ,93
31/03/13,1840 ,23076 ,39455 ,20242 ,15328 ,24449 ,11221 ,8699 ,21468 ,405 ,94
30/06/13,2344 ,30801 ,49706 ,27542 ,22176 ,30718 ,13945 ,10409 ,30225 ,577 ,106
30/09/13,1656 ,31096 ,48789 ,26005 ,18771 ,31128 ,14351 ,10544 ,28517 ,508 ,93
31/12/13,1953 ,35035 ,52678 ,29709 ,20270 ,35009 ,15909 ,11199 ,32753 ,460 ,123
31/03/14,1774 ,30188 ,46172 ,26114 ,17361 ,30657 ,14563 ,9705 ,28777 ,442 ,117
30/06/14,2317 ,35946 ,51819 ,32053 ,21050 ,40249 ,12672 ,9901 ,36548 ,551 ,127
30/09/14,2084 ,37400 ,48727 ,33772 ,20860 ,39497 ,12499 ,9644 ,35424 ,592 ,107
31/12/14,2462 ,43179 ,51670 ,38036 ,18991 ,48376 ,11980 ,10359 ,40089 ,547 ,99
31/03/15,2183 ,37747 ,46396 ,33877 ,17390 ,43319 ,10667 ,8897 ,35033 ,500 ,79
30/06/15,3618 ,45615 ,53392 ,40609 ,20001 ,50513 ,13404 ,10083 ,43645 ,431 ,104
30/09/15,3234 ,44790 ,60412 ,32390 ,20644 ,50265 ,13171 ,8721 ,38624 ,394 ,107
31/12/15,3493 ,45965 ,67208 ,28529 ,22293 ,51160 ,13963 ,8321 ,35787 ,318 ,127
